,trade_id,product_id,price,size,time,side,exchange,bid,ask
8968,590188397,ETH-USD,3469.53,0.1694,2025-01-02 16:22:00.573987+00:00,SELL,,,
8969,590188355,ETH-USD,3467.81,0.48060442,2025-01-02 16:21:45.016989+00:00,SELL,,,
8970,590188306,ETH-USD,3468.73,0.0197,2025-01-02 16:21:30.512079+00:00,SELL,,,
8971,590188278,ETH-USD,3468.92,0.00069572,2025-01-02 16:21:15.129526+00:00,BUY,,,
8972,590188227,ETH-USD,3469.24,0.00043661,2025-01-02 16:21:00.276931+00:00,BUY,,,
8973,590188145,ETH-USD,3469.81,0.1365419,2025-01-02 16:20:45.982867+00:00,SELL,,,
8974,590188071,ETH-USD,3472.39,0.00071921,2025-01-02 16:20:30.881139+00:00,BUY,,,
8975,590188009,ETH-USD,3472.57,0.06728473,2025-01-02 16:20:15.685607+00:00,BUY,,,
8976,590187957,ETH-USD,3471.44,0.00624812,2025-01-02 16:20:00.091684+00:00,BUY,,,
8977,590187900,ETH-USD,3469.91,0.02024514,2025-01-02 16:19:45.655030+00:00,BUY,,,
8978,590187860,ETH-USD,3470.6,0.00015143,2025-01-02 16:19:30.695062+00:00,SELL,,,
8979,590187803,ETH-USD,3469.2,0.00078153,2025-01-02 16:19:15.429859+00:00,SELL,,,
8980,590187762,ETH-USD,3470.48,0.00000612,2025-01-02 16:19:00.507412+00:00,BUY,,,
8981,590187703,ETH-USD,3469.63,0.01369639,2025-01-02 16:18:45.430429+00:00,SELL,,,
8982,590187658,ETH-USD,3470.55,0.00128241,2025-01-02 16:18:30.444663+00:00,BUY,,,
8983,590187592,ETH-USD,3471.17,0.00128196,2025-01-02 16:18:15.984865+00:00,SELL,,,
8984,590187552,ETH-USD,3470.72,0.00000569,2025-01-02 16:18:00.798433+00:00,BUY,,,
8985,590187445,ETH-USD,3470.59,0.06276657,2025-01-02 16:17:45.092170+00:00,SELL,,,
8986,590187349,ETH-USD,3470.42,0.2,2025-01-02 16:17:30.164730+00:00,SELL,,,
8987,590187274,ETH-USD,3468.84,0.0028535,2025-01-02 16:17:15.942889+00:00,SELL,,,
8988,590187235,ETH-USD,3468.59,0.00190432,2025-01-02 16:17:00.203136+00:00,SELL,,,
8989,590187203,ETH-USD,3468.64,0.00036056,2025-01-02 16:16:44.580658+00:00,BUY,,,
8990,590187114,ETH-USD,3467.5,0.06773928,2025-01-02 16:16:28.734904+00:00,BUY,,,
8991,590187054,ETH-USD,3465.19,0.00069904,2025-01-02 16:16:13.819347+00:00,BUY,,,
8992,590187001,ETH-USD,3465.94,0.11294409,2025-01-02 16:15:58.266404+00:00,SELL,,,
8993,590186967,ETH-USD,3464.48,0.00019987,2025-01-02 16:15:43.674243+00:00,SELL,,,
8994,590186907,ETH-USD,3466.94,0.07140343,2025-01-02 16:15:28.702238+00:00,SELL,,,
