,trade_id,product_id,price,size,time,side,bid,ask,exchange
19954,594833503,ETH-USD,3304.69,0.00729299,2025-01-16 15:37:47.953512+00:00,SELL,,,
19955,594833368,ETH-USD,3300.41,0.03599793,2025-01-16 15:37:32.225753+00:00,SELL,,,
19956,594833257,ETH-USD,3302.85,0.00320581,2025-01-16 15:37:16.876316+00:00,BUY,,,
19957,594833113,ETH-USD,3299.19,0.053548,2025-01-16 15:37:01.860786+00:00,SELL,,,
19958,594833007,ETH-USD,3301.41,0.10275867,2025-01-16 15:36:46.891649+00:00,SELL,,,
19959,594832827,ETH-USD,3300.08,0.00105326,2025-01-16 15:36:31.685712+00:00,SELL,,,
19960,594832617,ETH-USD,3300.85,0.49336001,2025-01-16 15:36:16.917000+00:00,BUY,,,
19961,594832430,ETH-USD,3305.02,0.00150124,2025-01-16 15:36:01.477249+00:00,SELL,,,
19962,594832326,ETH-USD,3306.18,0.00014658,2025-01-16 15:35:46.777797+00:00,SELL,,,
19963,594832233,ETH-USD,3307.54,0.00320127,2025-01-16 15:35:31.961720+00:00,BUY,,,
19964,594832134,ETH-USD,3308.5,0.00044356,2025-01-16 15:35:16.969527+00:00,SELL,,,
19965,594832014,ETH-USD,3307.99,0.92462896,2025-01-16 15:35:01.952779+00:00,SELL,,,
19966,594831865,ETH-USD,3307.83,0.001,2025-01-16 15:34:46.822202+00:00,BUY,,,
19967,594831728,ETH-USD,3308.14,0.12366575,2025-01-16 15:34:31.772261+00:00,BUY,,,
19968,594831560,ETH-USD,3307.0,0.44275194,2025-01-16 15:34:16.773707+00:00,SELL,,,
19969,594831376,ETH-USD,3309.84,0.37,2025-01-16 15:34:01.338608+00:00,BUY,,,
19970,594831236,ETH-USD,3314.81,0.00276628,2025-01-16 15:33:46.830346+00:00,SELL,,,
19971,594831060,ETH-USD,3316.28,0.00316902,2025-01-16 15:33:31.808377+00:00,BUY,,,
19972,594830904,ETH-USD,3315.52,0.00042485,2025-01-16 15:33:16.743921+00:00,SELL,,,
