,trade_id,product_id,price,size,time,side,exchange,bid,ask,trades,best_bid,best_ask
7727,580438973,ETH-USD,3633.91,0.00194089,2024-12-10 20:13:54.888478+00:00,SELL,,,,,,
7728,580438847,ETH-USD,3633.68,0.27236937,2024-12-10 20:13:39.805865+00:00,SELL,,,,,,
7729,580438706,ETH-USD,3636.3,0.001,2024-12-10 20:13:24.895321+00:00,SELL,,,,,,
7730,580438588,ETH-USD,3635.68,0.00136192,2024-12-10 20:13:09.983231+00:00,SELL,,,,,,
7731,580438464,ETH-USD,3634.56,0.00136381,2024-12-10 20:12:54.205130+00:00,SELL,,,,,,
7732,580438344,ETH-USD,3632.02,0.00481311,2024-12-10 20:12:39.913616+00:00,SELL,,,,,,
7733,580438237,ETH-USD,3628.48,0.1363973,2024-12-10 20:12:24.720176+00:00,SELL,,,,,,
7734,580438094,ETH-USD,3629.16,0.26769065,2024-12-10 20:12:08.996507+00:00,SELL,,,,,,
7735,580437987,ETH-USD,3632.19,0.71074328,2024-12-10 20:11:54.418905+00:00,SELL,,,,,,
7736,580437900,ETH-USD,3632.26,0.02608186,2024-12-10 20:11:39.881864+00:00,SELL,,,,,,
7737,580437754,ETH-USD,3633.54,0.0000055,2024-12-10 20:11:24.685532+00:00,SELL,,,,,,
7738,580437620,ETH-USD,3634.06,0.00045435,2024-12-10 20:11:09.955772+00:00,BUY,,,,,,
7739,580437499,ETH-USD,3635.69,0.08703705,2024-12-10 20:10:54.963388+00:00,SELL,,,,,,
7740,580437406,ETH-USD,3638.21,0.05364979,2024-12-10 20:10:39.487933+00:00,BUY,,,,,,
7741,580437283,ETH-USD,3641.78,0.089364,2024-12-10 20:10:24.946181+00:00,BUY,,,,,,
7742,580437130,ETH-USD,3644.88,0.00167644,2024-12-10 20:10:09.747444+00:00,BUY,,,,,,
7743,580436835,ETH-USD,3640.05,2.34328229,2024-12-10 20:09:54.725087+00:00,BUY,,,,,,
7744,580436734,ETH-USD,3639.94,0.00136765,2024-12-10 20:09:39.704432+00:00,BUY,,,,,,
7745,580436638,ETH-USD,3639.43,0.00257171,2024-12-10 20:09:24.294672+00:00,SELL,,,,,,
7746,580436523,ETH-USD,3640.54,0.20884018,2024-12-10 20:09:09.608012+00:00,SELL,,,,,,
7747,580436411,ETH-USD,3640.51,0.00003916,2024-12-10 20:08:54.998087+00:00,SELL,,,,,,
7748,580436154,ETH-USD,3637.68,0.4106092,2024-12-10 20:08:39.291270+00:00,BUY,,,,,,
7749,580436027,ETH-USD,3640.64,0.00137328,2024-12-10 20:08:24.730486+00:00,BUY,,,,,,
7750,580435907,ETH-USD,3640.87,0.03937602,2024-12-10 20:08:08.728025+00:00,SELL,,,,,,
7751,580435754,ETH-USD,3637.15,0.00068543,2024-12-10 20:07:54.667848+00:00,SELL,,,,,,
7752,580435587,ETH-USD,3636.59,0.01148198,2024-12-10 20:07:39.987774+00:00,SELL,,,,,,
7753,580435441,ETH-USD,3633.88,0.08497419,2024-12-10 20:07:24.784082+00:00,SELL,,,,,,
7754,580435281,ETH-USD,3634.71,0.01365944,2024-12-10 20:07:09.463744+00:00,SELL,,,,,,
7755,580435093,ETH-USD,3631.93,0.5,2024-12-10 20:06:54.765606+00:00,BUY,,,,,,
7756,580434974,ETH-USD,3628.08,0.00075949,2024-12-10 20:06:39.836731+00:00,SELL,,,,,,
7757,580434817,ETH-USD,3626.37,0.05415249,2024-12-10 20:06:24.659809+00:00,SELL,,,,,,
7758,580434697,ETH-USD,3623.8,1.85965951,2024-12-10 20:06:09.995262+00:00,BUY,,,,,,
7759,580434598,ETH-USD,3623.91,1.17054346,2024-12-10 20:05:54.862628+00:00,BUY,,,,,,
7760,580434509,ETH-USD,3622.36,0.00313,2024-12-10 20:05:39.606259+00:00,BUY,,,,,,
7761,580434391,ETH-USD,3622.63,0.003,2024-12-10 20:05:24.976048+00:00,BUY,,,,,,
7762,580434275,ETH-USD,3623.27,0.0716489,2024-12-10 20:05:09.974159+00:00,BUY,,,,,,
7763,580434129,ETH-USD,3625.13,0.00546231,2024-12-10 20:04:54.804462+00:00,SELL,,,,,,
7764,580434032,ETH-USD,3626.42,0.0716489,2024-12-10 20:04:39.850083+00:00,BUY,,,,,,
7765,580433918,ETH-USD,3625.22,0.00669194,2024-12-10 20:04:24.989269+00:00,SELL,,,,,,
7766,580433783,ETH-USD,3625.3,0.65706794,2024-12-10 20:04:09.905362+00:00,SELL,,,,,,
7767,580433682,ETH-USD,3624.09,0.00246158,2024-12-10 20:03:54.389758+00:00,SELL,,,,,,
7768,580433630,ETH-USD,3622.8,0.002,2024-12-10 20:03:39.902373+00:00,SELL,,,,,,
7769,580433537,ETH-USD,3625.39,0.47,2024-12-10 20:03:24.481898+00:00,BUY,,,,,,
7770,580433430,ETH-USD,3625.42,0.00000706,2024-12-10 20:03:09.824402+00:00,SELL,,,,,,
7771,580433300,ETH-USD,3626.19,0.00035216,2024-12-10 20:02:54.987712+00:00,BUY,,,,,,
7772,580433149,ETH-USD,3625.65,0.10440269,2024-12-10 20:02:39.521573+00:00,SELL,,,,,,
7773,580433009,ETH-USD,3625.67,0.01379071,2024-12-10 20:02:24.007113+00:00,BUY,,,,,,
7774,2024-12-10T20:02:09.995Z-ETH/USD-3626.25-0.31,ETH-USD,3626.25,0.31,2024-12-10 20:02:09.995000+00:00,UNKNOWN_ORDER_SIDE,,,,,,
7775,580432744,ETH-USD,3627.59,1.37832555,2024-12-10 20:01:54.004995+00:00,SELL,,,,,,
7776,580432624,ETH-USD,3627.4,0.27060864,2024-12-10 20:01:39.560000+00:00,BUY,,,,,,
7777,580432500,ETH-USD,3625.68,0.08495513,2024-12-10 20:01:24.969610+00:00,SELL,,,,,,
7778,580432353,ETH-USD,3626.72,0.29602,2024-12-10 20:01:09.954594+00:00,SELL,,,,,,
7779,580432242,ETH-USD,3627.37,0.19999666,2024-12-10 20:00:54.713727+00:00,BUY,,,,,,
7780,2024-12-10T20:00:39.996Z-ETH/USD-3629.274-5.47,ETH-USD,3629.274,5.47,2024-12-10 20:00:39.996000+00:00,UNKNOWN_ORDER_SIDE,,,,,,
7781,580431998,ETH-USD,3631.44,1.23811317,2024-12-10 20:00:24.980354+00:00,BUY,,,,,,
7782,580431879,ETH-USD,3630.96,0.00041327,2024-12-10 20:00:09.859568+00:00,SELL,,,,,,
7783,580431703,ETH-USD,3631.61,0.00024325,2024-12-10 19:59:54.943691+00:00,SELL,,,,,,
7784,580431606,ETH-USD,3631.95,0.001,2024-12-10 19:59:39.830210+00:00,SELL,,,,,,
7785,580431466,ETH-USD,3631.8,0.00010886,2024-12-10 19:59:24.953395+00:00,SELL,,,,,,
7786,580431383,ETH-USD,3632.93,0.00026697,2024-12-10 19:59:09.695257+00:00,SELL,,,,,,
7787,580431234,ETH-USD,3632.41,0.16,2024-12-10 19:58:54.928828+00:00,SELL,,,,,,
7788,580431115,ETH-USD,3630.22,0.02625186,2024-12-10 19:58:39.893484+00:00,SELL,,,,,,
7789,580430979,ETH-USD,3631.56,0.714559,2024-12-10 19:58:24.985959+00:00,SELL,,,,,,
