iter	Passed	Remaining
877	30958	4301
878	30998	4267
879	31033	4231
880	31068	4196
881	31102	4161
882	31136	4125
883	31170	4090
884	31199	4054
885	31236	4019
886	31272	3983
887	31311	3949
888	31350	3914
889	31395	3880
890	31438	3845
891	31481	3811
892	31514	3776
893	31563	3742
894	31603	3707
895	31636	3672
896	31673	3637
897	31713	3602
898	31751	3567
899	31778	3530
900	31811	3495
901	31848	3460
902	31882	3424
903	31921	3389
904	31957	3354
905	31994	3319
906	32030	3284
907	32067	3249
908	32103	3213
909	32134	3178
910	32168	3142
911	32198	3106
912	32228	3071
913	32262	3035
914	32295	3000
915	32330	2964
916	32360	2929
917	32396	2893
918	32431	2858
919	32464	2823
920	32495	2787
921	32524	2751
922	32558	2716
923	32593	2680
924	32628	2645
925	32658	2609
926	32697	2574
927	32732	2539
928	32770	2504
929	32805	2469
930	32846	2434
931	32892	2399
932	32932	2364
933	32972	2329
934	33013	2295
935	33051	2259
936	33089	2224
937	33121	2189
938	33151	2153
939	33179	2117
940	33214	2082
941	33252	2047
942	33281	2011
943	33313	1976
944	33346	1940
945	33379	1905
946	33411	1869
947	33445	1834
948	33481	1799
949	33517	1764
950	33551	1728
951	33583	1693
952	33618	1657
953	33660	1623
954	33695	1587
955	33728	1552
956	33766	1517
957	33800	1481
958	33834	1446
959	33867	1411
960	33904	1375
961	33941	1340
962	33970	1305
963	34009	1270
964	34042	1234
965	34075	1199
966	34106	1163
967	34139	1128
968	34170	1093
969	34199	1057
970	34235	1022
971	34273	987
972	34308	952
973	34341	916
974	34378	881
975	34412	846
976	34451	811
977	34484	775
978	34521	740
979	34555	705
980	34585	669
981	34621	634
982	34656	599
983	34693	564
984	34727	528
985	34764	493
986	34812	458
987	34856	423
988	34895	388
989	34932	352
990	34971	317
991	35005	282
992	35048	247
993	35083	211
994	35116	176
995	35155	141
996	35196	105
997	35232	70
998	35267	35
999	35316	0
